image_path,information_type,identifiability_gold,location_gold,activity_gold,blur_presence,sharing_gold,high_level_category,subcategory
img1,"[1,0,1,0,1,0,0,0]",2.0,1.0,1.0,0.0,"[0,1,1,0,0,0]",Location information,Public facilities
img10,"[1,0,0,0,1,0,0,0]",1.0,1.0,1.0,0.0,"[0,1,1,0,0,0]",Location information,Public facilities
img100,"[1,0,0,1,1,0,0,0]",1.0,1.0,0.0,1.0,"[0,1,0,0,0,0]",Body and appearance,Body exposure and sexual implication
img1000,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,0]",Personal preferences,Hobbies/Leisure/Style
img1001,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,0]",Personal preferences,Hobbies/Leisure/Style
img1002,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1003,"[1,0,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img1004,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,0]",Personal preferences,Hobbies/Leisure/Style
img1005,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,0]",Personal preferences,Hobbies/Leisure/Style
img1006,"[0,1,1,0,0,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1007,"[1,0,1,0,0,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1008,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1009,"[0,1,1,0,0,0,0,0]",0.0,,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img101,"[1,0,0,1,0,0,0,0]",2.0,2.0,2.0,0.0,"[1,0,0,0,0,0]",Body and appearance,Body exposure and sexual implication
img1010,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1011,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1012,"[1,1,1,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1013,"[1,1,1,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1014,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1015,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1016,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1017,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1018,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1019,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img102,"[1,0,0,1,1,0,0,0]",1.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Body and appearance,Body exposure and sexual implication
img1020,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1021,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1022,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1023,"[1,1,1,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1024,"[1,1,1,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1025,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,1.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1026,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1027,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal identity and sensitive information,Workplace/School
img1028,"[1,1,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1029,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img103,"[1,0,0,1,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Body and appearance,Body exposure and sexual implication
img1030,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1031,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1032,"[1,1,1,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1033,"[1,1,0,0,1,0,0,0]",2.0,1.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1034,"[1,1,1,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1035,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,0,0,0]",Personal identity and sensitive information,Workplace/School
img1036,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1037,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1038,"[1,1,0,0,1,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1039,"[1,1,1,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img104,"[1,0,0,1,0,0,0,0]",2.0,2.0,1.0,0.0,"[0,1,0,0,0,0]",Body and appearance,Body exposure and sexual implication
img1040,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,0,0,0]",Personal identity and sensitive information,Workplace/School
img1041,"[1,1,1,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1042,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img1043,"[1,1,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
