image_path,information_type,identifiability_gold,location_gold,activity_gold,blur_presence,sharing_gold,high_level_category,subcategory
img129,"[0,0,0,0,1,0,0,0]",0.0,0.0,0.0,0.0,"[0,1,1,1,1,0]",Personal preferences,Hobbies/Leisure/Style
img226,"[1,1,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Family events
img487,"[1,0,0,0,1,0,0,0]",1.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal preferences,Hobbies/Leisure/Style
img615,"[1,0,0,0,0,0,0,0]",2.0,0.0,0.0,0.0,"[0,1,1,1,0,0]",Personal identity and sensitive information,Workplace/School
img668,"[1,0,0,1,0,0,1,0]",1.0,1.0,2.0,0.0,"[0,1,0,0,0,0]",Risk and crime-related information,Violence/Threat
img1263,"[1,0,0,0,0,1,0,0]",2.0,1.0,2.0,0.0,"[0,1,0,0,0,0]",Socio-cultural sensitive information,Religion/Culture
img1899,"[1,0,0,1,0,0,0,0]",2.0,0.0,2.0,0.0,"[0,1,0,0,0,0]",Body and appearance,Injury
img3980,"[1,0,0,1,1,1,0,0]",2.0,0.0,1.0,0.0,"[0,0,0,0,0,0]",Socio-cultural sensitive information,Gender identity
img4818,"[1,0,0,0,1,0,0,0]",2.0,0.0,1.0,0.0,"[0,1,0,0,0,0]",Public,Public
img4837,"[1,0,0,0,0,1,0,0]",2.0,1.0,1.0,0.0,"[0,1,1,0,0,0]",Socio-cultural sensitive information,Religion/Culture
